group,full_path,product_or_variable,used_by
obs_precip,/discover/nobackup/projects/giss/baldwin_nip/dmkumar/obs_data/prec/imerg.gn.timeseries.2001-2018.nc,IMERG precip,"flor_pi, flor_2xCO2, HRMIP historical, HRMIP future"
obs_precip,/discover/nobackup/projects/giss/baldwin_nip/dmkumar/obs_data/prec/pr_TRMM-L3_v7-7A_199801-201312.nc,TRMM precip,"flor_pi, HRMIP historical, HRMIP future"
obs_precip,/discover/nobackup/projects/giss/baldwin_nip/dmkumar/obs_data/prec/gpcp.precip.1979-2018.monthly.nc,GPCP precip,"flor_pi, HRMIP historical"
obs_precip,/discover/nobackup/projects/giss/baldwin_nip/dmkumar/obs_data/prec/gpcc.precip.mon.rate.0.25x0.25.v2020.nc,GPCC precip,"flor_pi, HRMIP historical"
obs_merra2,/discover/nobackup/projects/giss/baldwin_nip/dmkumar/obs_data/merra2/merra2.U.1980-2022.monthly.nc,MERRA-2 U wind (lev 700/925),"700mb_psi, slp_gocllj"
obs_merra2,/discover/nobackup/projects/giss/baldwin_nip/dmkumar/obs_data/merra2/merra2.V.1980-2022.monthly.nc,MERRA-2 V wind (lev 700/925),"700mb_psi, slp_gocllj"
obs_merra2,/discover/nobackup/projects/giss/baldwin_nip/dmkumar/obs_data/merra2/merra2.H.1980-2022.monthly.nc,MERRA-2 geopotential height (lev 500/700),"500mb_geopotential, 700mb_psi"
obs_merra2,/discover/nobackup/projects/giss/baldwin_nip/dmkumar/obs_data/merra2/merra2.SLP.1980-2022.monthly.nc,MERRA-2 sea level pressure,slp_gocllj
obs_topography,/discover/nobackup/projects/giss/baldwin_nip/dmkumar/topo_files/obs.etopo5.zsurf.nc,ETOPO5 observed topography,"all FLOR notebooks, HRMIP, topography"
flor_ctrl,/discover/nobackup/projects/giss/baldwin_nip/dmkumar/FLOR/ctrl/pi/flor.ctrl.precip.monthly.nc,FLOR ctrl PI precip,"flor_pi, flor_2xCO2"
flor_ctrl,/discover/nobackup/projects/giss/baldwin_nip/dmkumar/FLOR/ctrl/2xco2/flor.ctrl.2xco2.precip.monthly.nc,FLOR ctrl 2xCO2 precip,flor_2xCO2
flor_ctrl,/discover/nobackup/projects/giss/baldwin_nip/dmkumar/FLOR/ctrl/pi/flor.ctrl.h500.monthly.nc,FLOR ctrl 500 hPa height,500mb_geopotential
